entry_id,entry_name,question_id,question_name,answer_predicted
176,Qumran Movement,Q_3135,Formal legal code (by other),1
176,Qumran Movement,Q_3138,Other institutional bureaucracies,1
176,Qumran Movement,Q_2900,Afterlife belief,1
176,Qumran Movement,Q_2908,Spirit-mind different powers than body,1
176,Qumran Movement,Q_2374,Proselytizing,1
176,Qumran Movement,Q_3085,Physical risk taking,0
176,Qumran Movement,Q_2256,Violent conflict (within region),1
176,Qumran Movement,Q_3173,Written language used (by other),1
176,Qumran Movement,Q_3166,Distinct language,0
176,Qumran Movement,Q_2868,Spirit-body distinction,1
176,Qumran Movement,Q_3147,Participate in military (by other),1
176,Qumran Movement,Q_2914,Spatial location of afterlife,1
176,Qumran Movement,Q_2305,Violent conflict (outside region),1
176,Qumran Movement,Q_3151,Food provided (by other),0
176,Qumran Movement,Q_3156,Public food starage (by other),1
182,Pauline Christianity,Q_2351,Recognized religious leaders,1
182,Pauline Christianity,Q_2324,Specific sacred sites,0
182,Pauline Christianity,Q_2876,Special corpse treatment,0
182,Pauline Christianity,Q_2964,Co-sacrifices in tomb/burial,0
182,Pauline Christianity,Q_2929,Grave goods,0
182,Pauline Christianity,Q_2305,Violent conflict (outside region),0
182,Pauline Christianity,Q_3179,Instituionalized elder care (by group),0
182,Pauline Christianity,Q_2914,Spatial location of afterlife,1
182,Pauline Christianity,Q_2252,Conception of apostasy,1
182,Pauline Christianity,Q_3121,Property sacrifice required,0
182,Pauline Christianity,Q_2256,Violent conflict (within region),0
182,Pauline Christianity,Q_2238,cultural contact accommodating,1
182,Pauline Christianity,Q_2967,In cemetery (formal burials),0
182,Pauline Christianity,Q_2842,Variety of supernatural beings,1
182,Pauline Christianity,Q_2271,Cultural contact competitive,1
182,Pauline Christianity,Q_2945,Non-human supernatural beings,1
182,Pauline Christianity,Q_2968,Previously human spirits present,0
184,Chinese Buddhism (Northern Wei),Q_3089,Sacrifice of adults,0
184,Chinese Buddhism (Northern Wei),Q_2958,Supreme high god is fused with monarch,0
184,Chinese Buddhism (Northern Wei),Q_3135,Formal legal code (by other),1
184,Chinese Buddhism (Northern Wei),Q_2271,Cultural contact competitive,1
184,Chinese Buddhism (Northern Wei),Q_2252,Conception of apostasy,0
184,Chinese Buddhism (Northern Wei),Q_3113,Constraints on sexual activity,0
184,Chinese Buddhism (Northern Wei),Q_3093,Small-scale rituals,1
184,Chinese Buddhism (Northern Wei),Q_2351,Recognized religious leaders,1
184,Chinese Buddhism (Northern Wei),Q_3115,Child sacrifice required,0
184,Chinese Buddhism (Northern Wei),Q_2929,Grave goods,1
184,Chinese Buddhism (Northern Wei),Q_3173,Written language used (by other),1
184,Chinese Buddhism (Northern Wei),Q_3140,Taxes levied (by other),1
184,Chinese Buddhism (Northern Wei),Q_3132,Formal legal code (by group),0
184,Chinese Buddhism (Northern Wei),Q_2238,cultural contact accommodating,1
184,Chinese Buddhism (Northern Wei),Q_3178,Taxes or tithis (by group),0
184,Chinese Buddhism (Northern Wei),Q_3129,Institutionalized punishment (by other),1
184,Chinese Buddhism (Northern Wei),Q_3177,Formal bureaucracy within group,0
184,Chinese Buddhism (Northern Wei),Q_3085,Physical risk taking,0
184,Chinese Buddhism (Northern Wei),Q_2948,Supreme high god is sky deity,1
184,Chinese Buddhism (Northern Wei),Q_3149,Institutionalized military (by group),0
184,Chinese Buddhism (Northern Wei),Q_3133,Institutionalized military (by other),1
184,Chinese Buddhism (Northern Wei),Q_3128,Formal education (by other),1
184,Chinese Buddhism (Northern Wei),Q_3098,Castration required,0
184,Chinese Buddhism (Northern Wei),Q_3163,Institutionalized elder care (by other),0
184,Chinese Buddhism (Northern Wei),Q_3063,Extra-ritual in-group markers,1
184,Chinese Buddhism (Northern Wei),Q_3151,Food provided (by other),0
184,Chinese Buddhism (Northern Wei),Q_2256,Violent conflict (within region),0
184,Chinese Buddhism (Northern Wei),Q_3121,Property sacrifice required,1
184,Chinese Buddhism (Northern Wei),Q_3147,Participate in military (by other),0
184,Chinese Buddhism (Northern Wei),Q_3165,Institutionalized punishment (by group),0
184,Chinese Buddhism (Northern Wei),Q_3074,Fictive kinship terminology,0
184,Chinese Buddhism (Northern Wei),Q_3138,Other institutional bureaucracies,1
184,Chinese Buddhism (Northern Wei),Q_3166,Distinct language,0
184,Chinese Buddhism (Northern Wei),Q_2305,Violent conflict (outside region),0
184,Chinese Buddhism (Northern Wei),Q_3175,Written language available (by other),1
184,Chinese Buddhism (Northern Wei),Q_2908,Spirit-mind different powers than body,1
184,Chinese Buddhism (Northern Wei),Q_3139,Formal calendar (by other),1
184,Chinese Buddhism (Northern Wei),Q_3095,Marginalization of out-group members,0
184,Chinese Buddhism (Northern Wei),Q_3122,Permanent scarring,0
184,Chinese Buddhism (Northern Wei),Q_3108,Large-scale rituals,1
184,Chinese Buddhism (Northern Wei),Q_3148,Formal education (by group),1
184,Chinese Buddhism (Northern Wei),Q_3157,Formal calendar (by group),0
184,Chinese Buddhism (Northern Wei),Q_2374,Proselytizing,0
184,Chinese Buddhism (Northern Wei),Q_2944,Supreme high god chthonic,0
184,Chinese Buddhism (Northern Wei),Q_3116,Ethical precepts,1
190,Sri Lankan Buddhism (1948-Present),Q_2914,Spatial location of afterlife,1
190,Sri Lankan Buddhism (1948-Present),Q_3151,Food provided (by other),1
190,Sri Lankan Buddhism (1948-Present),Q_3132,Formal legal code (by group),0
190,Sri Lankan Buddhism (1948-Present),Q_2351,Recognized religious leaders,1
190,Sri Lankan Buddhism (1948-Present),Q_2324,Specific sacred sites,1
190,Sri Lankan Buddhism (1948-Present),Q_3120,Calibacy required,0
190,Sri Lankan Buddhism (1948-Present),Q_2375,Are they oral? (Scriptures),1
190,Sri Lankan Buddhism (1948-Present),Q_3113,Constraints on sexual activity,1
190,Sri Lankan Buddhism (1948-Present),Q_3128,Formal education (by other),1
190,Sri Lankan Buddhism (1948-Present),Q_2305,Violent conflict (outside region),0
190,Sri Lankan Buddhism (1948-Present),Q_3108,Large-scale rituals,1
190,Sri Lankan Buddhism (1948-Present),Q_2908,Spirit-mind different powers than body,0
190,Sri Lankan Buddhism (1948-Present),Q_3173,Written language used (by other),1
190,Sri Lankan Buddhism (1948-Present),Q_2349,System for assigning religious afffiliation,1
190,Sri Lankan Buddhism (1948-Present),Q_3093,Small-scale rituals,1
195,Shakta Religion,Q_3120,Calibacy required,0
195,Shakta Religion,Q_2964,Co-sacrifices in tomb/burial,0
195,Shakta Religion,Q_3149,Institutionalized military (by group),0
195,Shakta Religion,Q_3177,Formal bureaucracy within group,0
195,Shakta Religion,Q_3095,Marginalization of out-group members,0
195,Shakta Religion,Q_3178,Taxes or tithis (by group),0
195,Shakta Religion,Q_3122,Permanent scarring,0
195,Shakta Religion,Q_3109,Suicide required,0
195,Shakta Religion,Q_3088,Forgone food opportunities (taboos),1
195,Shakta Religion,Q_3085,Physical risk taking,1
195,Shakta Religion,Q_3116,Ethical precepts,1
195,Shakta Religion,Q_3163,Institutionalized elder care (by other),0
195,Shakta Religion,Q_2944,Supreme high god chthonic,0
195,Shakta Religion,Q_3157,Formal calendar (by group),0
195,Shakta Religion,Q_3098,Castration required,0
195,Shakta Religion,Q_3148,Formal education (by group),0
195,Shakta Religion,Q_3133,Institutionalized military (by other),0
195,Shakta Religion,Q_3139,Formal calendar (by other),0
195,Shakta Religion,Q_2948,Supreme high god is sky deity,0
195,Shakta Religion,Q_3128,Formal education (by other),0
195,Shakta Religion,Q_3108,Large-scale rituals,1
195,Shakta Religion,Q_3100,Sacrifice of time required,1
195,Shakta Religion,Q_3175,Written language available (by other),0
195,Shakta Religion,Q_3113,Constraints on sexual activity,0
195,Shakta Religion,Q_3089,Sacrifice of adults,0
195,Shakta Religion,Q_3166,Distinct language,0
195,Shakta Religion,Q_3138,Other institutional bureaucracies,0
195,Shakta Religion,Q_2967,In cemetery (formal burials),0
195,Shakta Religion,Q_3165,Institutionalized punishment (by group),0
195,Shakta Religion,Q_3147,Participate in military (by other),0
195,Shakta Religion,Q_2256,Violent conflict (within region),1
195,Shakta Religion,Q_2929,Grave goods,0
195,Shakta Religion,Q_3151,Food provided (by other),0
195,Shakta Religion,Q_3140,Taxes levied (by other),0
195,Shakta Religion,Q_3093,Small-scale rituals,1
195,Shakta Religion,Q_3173,Written language used (by other),0
195,Shakta Religion,Q_3129,Institutionalized punishment (by other),0
195,Shakta Religion,Q_3132,Formal legal code (by group),0
195,Shakta Religion,Q_3074,Fictive kinship terminology,0
195,Shakta Religion,Q_2265,Monuments,1
195,Shakta Religion,Q_3115,Child sacrifice required,0
195,Shakta Religion,Q_3135,Formal legal code (by other),0
195,Shakta Religion,Q_2841,Formal burials,0
195,Shakta Religion,Q_2305,Violent conflict (outside region),1
195,Shakta Religion,Q_2958,Supreme high god is fused with monarch,0
196,Pauline Christianity (ca. 45-60 CE),Q_2253,Are they written? (Scriptures),1
196,Pauline Christianity (ca. 45-60 CE),Q_3063,Extra-ritual in-group markers,0
196,Pauline Christianity (ca. 45-60 CE),Q_2964,Co-sacrifices in tomb/burial,0
196,Pauline Christianity (ca. 45-60 CE),Q_3108,Large-scale rituals,1
196,Pauline Christianity (ca. 45-60 CE),Q_2283,Iconography present,0
196,Pauline Christianity (ca. 45-60 CE),Q_3147,Participate in military (by other),1
196,Pauline Christianity (ca. 45-60 CE),Q_3163,Institutionalized elder care (by other),0
196,Pauline Christianity (ca. 45-60 CE),Q_2841,Formal burials,1
196,Pauline Christianity (ca. 45-60 CE),Q_2252,Conception of apostasy,1
196,Pauline Christianity (ca. 45-60 CE),Q_2967,In cemetery (formal burials),1
196,Pauline Christianity (ca. 45-60 CE),Q_2374,Proselytizing,1
196,Pauline Christianity (ca. 45-60 CE),Q_2876,Special corpse treatment,0
196,Pauline Christianity (ca. 45-60 CE),Q_2929,Grave goods,0
196,Pauline Christianity (ca. 45-60 CE),Q_2324,Specific sacred sites,0
200,Nechung Cult,Q_2967,In cemetery (formal burials),0
200,Nechung Cult,Q_2958,Supreme high god is fused with monarch,0
200,Nechung Cult,Q_2256,Violent conflict (within region),1
200,Nechung Cult,Q_2271,Cultural contact competitive,1
200,Nechung Cult,Q_2305,Violent conflict (outside region),0
200,Nechung Cult,Q_3233,Supreme high god has world knowledge,0
200,Nechung Cult,Q_2324,Specific sacred sites,1
200,Nechung Cult,Q_2351,Recognized religious leaders,1
200,Nechung Cult,Q_2944,Supreme high god chthonic,0
200,Nechung Cult,Q_2252,Conception of apostasy,1
200,Nechung Cult,Q_2948,Supreme high god is sky deity,0
200,Nechung Cult,Q_2238,cultural contact accommodating,1
201,Mediterranean,Q_2948,Supreme high god is sky deity,1
201,Mediterranean,Q_3121,Property sacrifice required,1
201,Mediterranean,Q_3107,Transitory pain/wounds required,0
201,Mediterranean,Q_3074,Fictive kinship terminology,1
201,Mediterranean,Q_3089,Sacrifice of adults,0
201,Mediterranean,Q_2252,Conception of apostasy,0
201,Mediterranean,Q_2968,Previously human spirits present,1
201,Mediterranean,Q_3100,Sacrifice of time required,1
201,Mediterranean,Q_3098,Castration required,0
201,Mediterranean,Q_2944,Supreme high god chthonic,0
201,Mediterranean,Q_3440,Supernatural punishment meted out in this lifetime,1
201,Mediterranean,Q_2919,Supreme high god present,1
201,Mediterranean,Q_2928,Supernatural monitoring of prosocial norm adherence,1
201,Mediterranean,Q_3095,Marginalization of out-group members,0
201,Mediterranean,Q_3122,Permanent scarring,0
201,Mediterranean,Q_3116,Ethical precepts,1
201,Mediterranean,Q_3108,Large-scale rituals,1
201,Mediterranean,Q_3109,Suicide required,0
201,Mediterranean,Q_2238,cultural contact accommodating,1
201,Mediterranean,Q_3117,Fasting required,1
201,Mediterranean,Q_3233,Supreme high god has world knowledge,1
201,Mediterranean,Q_2958,Supreme high god is fused with monarch,0
201,Mediterranean,Q_3437,Supernatural beings bestow rewards,1
201,Mediterranean,Q_2375,Are they oral? (Scriptures),1
201,Mediterranean,Q_2256,Violent conflict (within region),1
201,Mediterranean,Q_2271,Cultural contact competitive,1
201,Mediterranean,Q_2305,Violent conflict (outside region),1
201,Mediterranean,Q_3088,Forgone food opportunities (taboos),1
201,Mediterranean,Q_3085,Physical risk taking,0
201,Mediterranean,Q_3420,Supernatural beings mete out punishment,1
201,Mediterranean,Q_3113,Constraints on sexual activity,0
201,Mediterranean,Q_3115,Child sacrifice required,0
201,Mediterranean,Q_2914,Spatial location of afterlife,1
204,Han Confucianism,Q_3122,Permanent scarring,0
204,Han Confucianism,Q_3130,Institutionalized police force (by other),1
204,Han Confucianism,Q_2271,Cultural contact competitive,1
204,Han Confucianism,Q_2914,Spatial location of afterlife,1
204,Han Confucianism,Q_3022,Conventional vs. moral distinction,1
204,Han Confucianism,Q_3121,Property sacrifice required,1
204,Han Confucianism,Q_2238,cultural contact accommodating,1
204,Han Confucianism,Q_3028,Social norms prescribed,1
204,Han Confucianism,Q_2967,In cemetery (formal burials),0
204,Han Confucianism,Q_2374,Proselytizing,0
204,Han Confucianism,Q_2919,Supreme high god present,1
204,Han Confucianism,Q_3117,Fasting required,1
204,Han Confucianism,Q_3158,Institutionalized famine relief (by group),0
204,Han Confucianism,Q_3440,Supernatural punishment meted out in this lifetime,1
204,Han Confucianism,Q_3088,Forgone food opportunities (taboos),1
204,Han Confucianism,Q_3085,Physical risk taking,0
204,Han Confucianism,Q_2316,Cultural contact,1
204,Han Confucianism,Q_2256,Violent conflict (within region),1
204,Han Confucianism,Q_2958,Supreme high god is fused with monarch,0
204,Han Confucianism,Q_3437,Supernatural beings bestow rewards,1
204,Han Confucianism,Q_3115,Child sacrifice required,0
204,Han Confucianism,Q_3233,Supreme high god has world knowledge,1
204,Han Confucianism,Q_2842,Variety of supernatural beings,1
204,Han Confucianism,Q_3098,Castration required,0
204,Han Confucianism,Q_3116,Ethical precepts,1
204,Han Confucianism,Q_2944,Supreme high god chthonic,0
204,Han Confucianism,Q_3089,Sacrifice of adults,0
204,Han Confucianism,Q_3095,Marginalization of out-group members,0
204,Han Confucianism,Q_3100,Sacrifice of time required,1
204,Han Confucianism,Q_3133,Institutionalized military (by other),1
204,Han Confucianism,Q_3163,Institutionalized elder care (by other),1
204,Han Confucianism,Q_3109,Suicide required,0
204,Han Confucianism,Q_3113,Constraints on sexual activity,0
204,Han Confucianism,Q_2283,Iconography present,1
204,Han Confucianism,Q_3074,Fictive kinship terminology,1
204,Han Confucianism,Q_3173,Written language used (by other),1
204,Han Confucianism,Q_2948,Supreme high god is sky deity,1
204,Han Confucianism,Q_3063,Extra-ritual in-group markers,1
204,Han Confucianism,Q_3107,Transitory pain/wounds required,0
204,Han Confucianism,Q_2305,Violent conflict (outside region),1
204,Han Confucianism,Q_3420,Supernatural beings mete out punishment,1
211,Amarna Religion,Q_2374,Proselytizing,0
211,Amarna Religion,Q_3116,Ethical precepts,1
211,Amarna Religion,Q_3022,Conventional vs. moral distinction,1
211,Amarna Religion,Q_2375,Are they oral? (Scriptures),1
211,Amarna Religion,Q_3088,Forgone food opportunities (taboos),0
211,Amarna Religion,Q_3113,Constraints on sexual activity,0
211,Amarna Religion,Q_2305,Violent conflict (outside region),1
212,Warring States (China) Religion,Q_3093,Small-scale rituals,1
212,Warring States (China) Religion,Q_3022,Conventional vs. moral distinction,0
212,Warring States (China) Religion,Q_3107,Transitory pain/wounds required,0
212,Warring States (China) Religion,Q_2305,Violent conflict (outside region),0
212,Warring States (China) Religion,Q_3108,Large-scale rituals,1
212,Warring States (China) Religion,Q_3098,Castration required,0
212,Warring States (China) Religion,Q_3095,Marginalization of out-group members,0
212,Warring States (China) Religion,Q_3109,Suicide required,0
212,Warring States (China) Religion,Q_3100,Sacrifice of time required,1
212,Warring States (China) Religion,Q_2271,Cultural contact competitive,0
212,Warring States (China) Religion,Q_2862,Reincarnation in this world,0
212,Warring States (China) Religion,Q_2256,Violent conflict (within region),0
212,Warring States (China) Religion,Q_3113,Constraints on sexual activity,0
212,Warring States (China) Religion,Q_3117,Fasting required,0
212,Warring States (China) Religion,Q_3089,Sacrifice of adults,0
212,Warring States (China) Religion,Q_3115,Child sacrifice required,0
212,Warring States (China) Religion,Q_2958,Supreme high god is fused with monarch,0
212,Warring States (China) Religion,Q_2375,Are they oral? (Scriptures),0
212,Warring States (China) Religion,Q_3088,Forgone food opportunities (taboos),0
212,Warring States (China) Religion,Q_3120,Calibacy required,0
212,Warring States (China) Religion,Q_3085,Physical risk taking,0
212,Warring States (China) Religion,Q_2914,Spatial location of afterlife,1
212,Warring States (China) Religion,Q_3116,Ethical precepts,0
212,Warring States (China) Religion,Q_3122,Permanent scarring,0
212,Warring States (China) Religion,Q_3121,Property sacrifice required,0
212,Warring States (China) Religion,Q_2238,cultural contact accommodating,0
212,Warring States (China) Religion,Q_2253,Are they written? (Scriptures),0
212,Warring States (China) Religion,Q_3028,Social norms prescribed,1
212,Warring States (China) Religion,Q_3074,Fictive kinship terminology,0
212,Warring States (China) Religion,Q_2254,Story of scripture origin,0
217,Roman private religion,Q_3440,Supernatural punishment meted out in this lifetime,1
217,Roman private religion,Q_2944,Supreme high god chthonic,0
217,Roman private religion,Q_3233,Supreme high god has world knowledge,0
217,Roman private religion,Q_2253,Are they written? (Scriptures),0
217,Roman private religion,Q_3100,Sacrifice of time required,1
217,Roman private religion,Q_3016,Messianic beliefs,0
217,Roman private religion,Q_3022,Conventional vs. moral distinction,0
217,Roman private religion,Q_3177,Formal bureaucracy within group,0
217,Roman private religion,Q_2254,Story of scripture origin,0
217,Roman private religion,Q_3138,Other institutional bureaucracies,1
217,Roman private religion,Q_2900,Afterlife belief,1
217,Roman private religion,Q_2958,Supreme high god is fused with monarch,0
217,Roman private religion,Q_2375,Are they oral? (Scriptures),0
217,Roman private religion,Q_2271,Cultural contact competitive,0
217,Roman private religion,Q_3028,Social norms prescribed,1
217,Roman private religion,Q_2868,Spirit-body distinction,1
217,Roman private religion,Q_2948,Supreme high god is sky deity,0
217,Roman private religion,Q_2914,Spatial location of afterlife,1
217,Roman private religion,Q_2908,Spirit-mind different powers than body,1
222,Late Classic Lowland Maya,Q_3177,Formal bureaucracy within group,1
222,Late Classic Lowland Maya,Q_2238,cultural contact accommodating,1
222,Late Classic Lowland Maya,Q_2948,Supreme high god is sky deity,0
222,Late Classic Lowland Maya,Q_2964,Co-sacrifices in tomb/burial,0
222,Late Classic Lowland Maya,Q_3165,Institutionalized punishment (by group),1
222,Late Classic Lowland Maya,Q_2944,Supreme high god chthonic,0
222,Late Classic Lowland Maya,Q_2967,In cemetery (formal burials),1
222,Late Classic Lowland Maya,Q_3440,Supernatural punishment meted out in this lifetime,1
222,Late Classic Lowland Maya,Q_2914,Spatial location of afterlife,1
222,Late Classic Lowland Maya,Q_3138,Other institutional bureaucracies,1
222,Late Classic Lowland Maya,Q_2928,Supernatural monitoring of prosocial norm adherence,0
222,Late Classic Lowland Maya,Q_2958,Supreme high god is fused with monarch,0
222,Late Classic Lowland Maya,Q_2351,Recognized religious leaders,1
222,Late Classic Lowland Maya,Q_2271,Cultural contact competitive,1
222,Late Classic Lowland Maya,Q_3169,Public food storage (by group),1
222,Late Classic Lowland Maya,Q_3088,Forgone food opportunities (taboos),1
222,Late Classic Lowland Maya,Q_3085,Physical risk taking,0
222,Late Classic Lowland Maya,Q_3168,Povery relief (by group),1
222,Late Classic Lowland Maya,Q_2908,Spirit-mind different powers than body,1
222,Late Classic Lowland Maya,Q_3179,Instituionalized elder care (by group),1
222,Late Classic Lowland Maya,Q_3074,Fictive kinship terminology,1
222,Late Classic Lowland Maya,Q_3121,Property sacrifice required,0
222,Late Classic Lowland Maya,Q_3163,Institutionalized elder care (by other),0
222,Late Classic Lowland Maya,Q_3109,Suicide required,0
222,Late Classic Lowland Maya,Q_3437,Supernatural beings bestow rewards,1
222,Late Classic Lowland Maya,Q_3116,Ethical precepts,1
222,Late Classic Lowland Maya,Q_2324,Specific sacred sites,1
222,Late Classic Lowland Maya,Q_3095,Marginalization of out-group members,0
222,Late Classic Lowland Maya,Q_3022,Conventional vs. moral distinction,1
222,Late Classic Lowland Maya,Q_3128,Formal education (by other),1
222,Late Classic Lowland Maya,Q_3233,Supreme high god has world knowledge,1
222,Late Classic Lowland Maya,Q_3162,Poverty relief (by other),0
222,Late Classic Lowland Maya,Q_3156,Public food starage (by other),0
222,Late Classic Lowland Maya,Q_3158,Institutionalized famine relief (by group),1
222,Late Classic Lowland Maya,Q_3164,Famine relief (by other),0
222,Late Classic Lowland Maya,Q_2842,Variety of supernatural beings,1
224,Old Norse Fornsed,Q_3121,Property sacrifice required,0
224,Old Norse Fornsed,Q_3063,Extra-ritual in-group markers,0
224,Old Norse Fornsed,Q_2253,Are they written? (Scriptures),0
224,Old Norse Fornsed,Q_3166,Distinct language,0
224,Old Norse Fornsed,Q_3108,Large-scale rituals,1
224,Old Norse Fornsed,Q_2256,Violent conflict (within region),1
224,Old Norse Fornsed,Q_2254,Story of scripture origin,0
224,Old Norse Fornsed,Q_3122,Permanent scarring,0
224,Old Norse Fornsed,Q_2958,Supreme high god is fused with monarch,0
224,Old Norse Fornsed,Q_2375,Are they oral? (Scriptures),0
224,Old Norse Fornsed,Q_3107,Transitory pain/wounds required,0
224,Old Norse Fornsed,Q_2876,Special corpse treatment,1
224,Old Norse Fornsed,Q_3089,Sacrifice of adults,0
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2252,Conception of apostasy,0
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3063,Extra-ritual in-group markers,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3173,Written language used (by other),1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3420,Supernatural beings mete out punishment,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3440,Supernatural punishment meted out in this lifetime,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3074,Fictive kinship terminology,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3113,Constraints on sexual activity,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2958,Supreme high god is fused with monarch,0
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2928,Supernatural monitoring of prosocial norm adherence,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2271,Cultural contact competitive,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2256,Violent conflict (within region),1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2305,Violent conflict (outside region),0
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2253,Are they written? (Scriptures),1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2967,In cemetery (formal burials),0
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_3437,Supernatural beings bestow rewards,1
227,Hindu Goddess Worship in Northwest India—Modern Period,Q_2238,cultural contact accommodating,1
228,Late Chosŏn Korea,Q_3440,Supernatural punishment meted out in this lifetime,1
228,Late Chosŏn Korea,Q_2914,Spatial location of afterlife,1
228,Late Chosŏn Korea,Q_3437,Supernatural beings bestow rewards,1
228,Late Chosŏn Korea,Q_2900,Afterlife belief,1
228,Late Chosŏn Korea,Q_2316,Cultural contact,1
228,Late Chosŏn Korea,Q_3154,Institutionalized judicial system (by other),1
228,Late Chosŏn Korea,Q_2841,Formal burials,1
228,Late Chosŏn Korea,Q_2967,In cemetery (formal burials),1
228,Late Chosŏn Korea,Q_3133,Institutionalized military (by other),1
228,Late Chosŏn Korea,Q_3233,Supreme high god has world knowledge,1
228,Late Chosŏn Korea,Q_3149,Institutionalized military (by group),0
228,Late Chosŏn Korea,Q_3167,Water management (by other),1
228,Late Chosŏn Korea,Q_3156,Public food starage (by other),1
228,Late Chosŏn Korea,Q_3147,Participate in military (by other),0
228,Late Chosŏn Korea,Q_2929,Grave goods,0
230,Religion in Mesopotamia,Q_3177,Formal bureaucracy within group,1
230,Religion in Mesopotamia,Q_3147,Participate in military (by other),1
230,Religion in Mesopotamia,Q_3165,Institutionalized punishment (by group),1
230,Religion in Mesopotamia,Q_2375,Are they oral? (Scriptures),0
230,Religion in Mesopotamia,Q_2945,Non-human supernatural beings,1
230,Religion in Mesopotamia,Q_3158,Institutionalized famine relief (by group),1
230,Religion in Mesopotamia,Q_2253,Are they written? (Scriptures),0
230,Religion in Mesopotamia,Q_3138,Other institutional bureaucracies,1
230,Religion in Mesopotamia,Q_2842,Variety of supernatural beings,1
230,Religion in Mesopotamia,Q_3151,Food provided (by other),1
230,Religion in Mesopotamia,Q_3174,Water management (by group),1
230,Religion in Mesopotamia,Q_2254,Story of scripture origin,0
230,Religion in Mesopotamia,Q_3149,Institutionalized military (by group),1
230,Religion in Mesopotamia,Q_3116,Ethical precepts,1
230,Religion in Mesopotamia,Q_3133,Institutionalized military (by other),1
231,Roman private religion,Q_3233,Supreme high god has world knowledge,0
231,Roman private religion,Q_2944,Supreme high god chthonic,0
231,Roman private religion,Q_3177,Formal bureaucracy within group,0
231,Roman private religion,Q_3138,Other institutional bureaucracies,1
231,Roman private religion,Q_3100,Sacrifice of time required,1
231,Roman private religion,Q_2868,Spirit-body distinction,1
231,Roman private religion,Q_3028,Social norms prescribed,1
231,Roman private religion,Q_3016,Messianic beliefs,0
231,Roman private religion,Q_2908,Spirit-mind different powers than body,1
231,Roman private religion,Q_2271,Cultural contact competitive,0
231,Roman private religion,Q_3022,Conventional vs. moral distinction,0
231,Roman private religion,Q_2900,Afterlife belief,1
231,Roman private religion,Q_2914,Spatial location of afterlife,1
231,Roman private religion,Q_2253,Are they written? (Scriptures),0
231,Roman private religion,Q_2958,Supreme high god is fused with monarch,0
231,Roman private religion,Q_2254,Story of scripture origin,0
